T,R,G,B
6720,0.740129792573,0.892956906751,1.0
6730,0.738609491089,0.891971963677,1.0
6740,0.737096753656,0.89099125297,1.0
6750,0.73559152816,0.890014748959,1.0
6760,0.734093762941,0.889042426176,1.0
6770,0.732603406792,0.888074259348,1.0
6780,0.731120408948,0.887110223401,1.0
6790,0.729644719088,0.886150293457,1.0
6800,0.728176287325,0.88519444483,1.0
6810,0.726715064204,0.884242653026,1.0
6820,0.725261000699,0.883294893739,1.0
6830,0.723814048203,0.882351142854,1.0
6840,0.722374158532,0.881411376439,1.0
6850,0.720941283911,0.880475570747,1.0
